Rank, Album Name, Rating, #votes, Popularity
334, DEATH NOTE original soundtrack II, 4.00, 14, 0.0710
335, PiA-COM I / PIA-COMS, 3.91, 11, 0.0711
336, Namco Game Sound Express VOL.2 Burning Force, 4.00, 12, 0.0711
337, FINAL FANTASY TYPE-0 Original Soundtrack, 4.11, 18, 0.0711
338, The Best of Crush 40 - Super Sonic Songs, 4.69, 13, 0.0712
339, Re:CREATORS Original Soundtrack, 4.23, 37, 0.0713
340, Motoi Sakuraba Live 2006 -Valkyrie Profile 2-, 4.05, 11, 0.0713
341, Banjo-Tooie CD Soundtrack, 4.00, 12, 0.0714
342, SUPER MARIO KART ALBUM, 3.74, 19, 0.0716
343, Monster Hunter 4 Original Soundtrack, 3.77, 11, 0.0717
344, ORIGINAL SOUND TRACK DINOSAUR resurrection, 3.81, 13, 0.0718
345, SEVEN RINGS IN HAND: Sonic and the Secret Rings Original Sound Track, 4.06, 18, 0.0718
346, Mario Basketball 3on3 Original Soundtrack, 3.88, 13, 0.0718
